GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JabberPoint,jabberpoint.style.styles,Style,21,24,0,0,5,7,5,1,5,1
JabberPoint,jabberpoint.style.styles,TitleOneStyle,0,7,0,0,0,2,0,1,0,1
JabberPoint,jabberpoint.style.styles,TextStyle,0,7,0,0,0,2,0,1,0,1
JabberPoint,jabberpoint.style.styles,TitleTwoStyle,0,7,0,0,0,2,0,1,0,1
JabberPoint,jabberpoint.style.styles,SubtitleTwoStyle,0,7,0,0,0,2,0,1,0,1
JabberPoint,jabberpoint.style.styles,SubtitleOneStyle,0,7,0,0,0,2,0,1,0,1
JabberPoint,jabberpoint.controller.keycontroller,QuitCommand,3,4,0,0,2,2,1,1,1,1
JabberPoint,jabberpoint.controller.keycontroller,NextSlideCommand,0,8,0,0,0,4,0,2,0,2
JabberPoint,jabberpoint.controller.keycontroller,KeyController,5,60,1,6,2,20,1,7,0,3
JabberPoint,jabberpoint.controller.keycontroller,PreviousSlideCommand,0,8,0,0,0,4,0,2,0,2
JabberPoint,jabberpoint.slideitem.items,BitmapItem,76,107,0,2,10,20,2,7,2,6
JabberPoint,jabberpoint.slideitem.items,TextItem,79,186,6,8,14,40,5,12,2,8
JabberPoint,jabberpoint.slideviewer,SlideViewerFrame.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
JabberPoint,jabberpoint.slideviewer,SlideViewerComponent,149,0,6,0,41,0,15,0,12,0
JabberPoint,jabberpoint.slideviewer,SlideViewerFrame,55,0,0,0,13,0,2,0,2,0
JabberPoint,jabberpoint.presentation,DemoPresentation,141,0,0,0,39,0,3,0,3,0
JabberPoint,jabberpoint.presentation,Presentation,106,40,14,2,28,15,19,4,11,4
JabberPoint,jabberpoint,JabberPoint,49,0,2,0,12,0,3,0,2,0
JabberPoint,jabberpoint,AboutBox,9,0,0,0,3,0,2,0,2,0
JabberPoint,jabberpoint,JabberPointErrors,15,0,0,0,3,0,1,0,1,0
JabberPoint,jabberpoint.slide.iterator,SlideItemIterator,0,38,0,4,0,8,0,5,0,3
JabberPoint,jabberpoint.style,StyleOptions,12,86,0,0,4,19,4,2,4,2
JabberPoint,jabberpoint.style,Director,0,68,0,0,0,26,0,6,0,6
JabberPoint,jabberpoint.style.builder,SubtitleTwoStyleBuilder,0,15,0,0,0,3,0,2,0,2
JabberPoint,jabberpoint.style.builder,TextStyleBuilder,0,15,0,0,0,3,0,2,0,2
JabberPoint,jabberpoint.style.builder,TitleTwoStyleBuilder,0,15,0,0,0,3,0,2,0,2
JabberPoint,jabberpoint.style.builder,TitleOneStyleBuilder,0,15,0,0,0,3,0,2,0,2
JabberPoint,jabberpoint.style.builder,StyleBuilder,0,40,0,6,0,16,0,8,0,5
JabberPoint,jabberpoint.style.builder,SubtitleOneStyleBuilder,0,15,0,0,0,3,0,2,0,2
JabberPoint,jabberpoint.controller,Command,0,6,0,0,0,3,0,1,0,1
JabberPoint,jabberpoint.slide,Slide,143,0,2,0,32,0,11,0,10,0
JabberPoint,jabberpoint.controller.menucontroller,OpenFileCommand,35,7,0,0,9,3,1,1,1,1
JabberPoint,jabberpoint.controller.menucontroller,SaveFileCommand,25,7,0,0,6,3,1,1,1,1
JabberPoint,jabberpoint.controller.menucontroller,MenuController.new ActionListener() {...},0,15,0,0,0,3,0,2,0,2
JabberPoint,jabberpoint.controller.menucontroller,NewFileCommand,7,7,0,0,3,3,1,1,1,1
JabberPoint,jabberpoint.controller.menucontroller,GoToSlideCommand,0,17,0,0,0,6,0,2,0,2
JabberPoint,jabberpoint.controller.menucontroller,ShowAboutCommand,4,7,0,0,2,3,1,1,1,1
JabberPoint,jabberpoint.controller.menucontroller,MenuController,9,174,0,0,3,34,3,5,3,5
JabberPoint,jabberpoint.controller.menucontroller,ExitCommand,4,4,0,0,2,2,1,1,1,1
JabberPoint,jabberpoint.slideitem.creator,BitmapItemCreator,0,19,0,0,0,5,0,3,0,3
JabberPoint,jabberpoint.slideitem.creator,SlideItemCreator,0,3,0,0,0,1,0,1,0,1
JabberPoint,jabberpoint.slideitem.creator,TextItemCreator,0,19,0,0,0,5,0,3,0,3
JabberPoint,jabberpoint.accessor,Accessor,7,0,0,0,3,0,2,0,2,0
JabberPoint,jabberpoint.accessor,XMLAccessor,297,0,18,0,71,0,14,0,5,0
